top - 19:09:16 up 8 days,  1:13,  1 user,  load average: 1.60, 2.04, 1.89
Tasks: 182 total,   2 running, 180 sleeping,   0 stopped,   0 zombie
%Cpu(s):  7.1 us,  8.6 sy,  0.0 ni, 82.9 id,  0.0 wa,  1.4 hi,  0.0 si,  0.0 st
MiB Mem :   7810.7 total,   1928.2 free,   2222.8 used,   3659.7 buff/cache
MiB Swap:    512.0 total,    511.9 free,      0.1 used.   5044.6 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  527 postgres  20   0  226700   5996   4584 S   0.0   0.1   0:00.08 postgres
  528 postgres  20   0  226600   3428   2052 S   0.0   0.0   0:03.25 postgres
  529 postgres  20   0  226600   8020   6620 S   0.0   0.1   0:03.14 postgres
  530 postgres  20   0  227012   6016   4404 S   0.0   0.1   0:01.51 postgres
  531 postgres  20   0   81524   2560   1184 S   0.0   0.0   0:02.33 postgres
  532 postgres  20   0  226900   4224   2712 S   0.0   0.1   0:00.16 postgres
  548 root      20   0 1403656  39340  22624 S   0.0   0.5   8:53.11 docker-containe
 1070 root      20   0  109612  14948  13344 S   0.0   0.2   0:00.05 sddm-helper
 1072 vlad      20   0   60380   7828   6504 S   0.0   0.1   0:00.58 systemd
 1074 vlad      20   0  251724   2284      0 S   0.0   0.0   0:00.00 (sd-pam)
 1087 vlad      20   0   11144   3288   2840 S   0.0   0.0   0:00.05 sh
 1092 vlad      20   0   13116   4896   3556 S   0.0   0.1   1:25.43 dbus-daemon
 1100 vlad      20   0  277972  18980  14016 S   0.0   0.2   0:40.00 xfce4-session
 1104 vlad      20   0   32724   5208   4396 S   0.0   0.1   0:00.67 xfconfd
 1107 vlad      20   0    5668    436      0 S   0.0   0.0   0:00.00 ssh-agent
 1109 vlad      20   0  162836   3544   3268 S   0.0   0.0   0:06.78 gpg-agent
 1111 vlad      20   0  684740  33280  24504 S   0.0   0.4  20:49.26 xfwm4
 1113 vlad       9 -11 1647128  13172   9536 S   0.0   0.2  19:44.84 pulseaudio
 1114 rtkit     21   1  160712   2716   2484 S   0.0   0.0   0:01.85 rtkit-daemon
 1119 vlad      20   0  274204   6612   5752 S   0.0   0.1   0:00.03 gsettings-helpe
 1124 vlad      20   0  673980  53076  36248 S   0.0   0.7   0:37.78 Thunar
 1143 vlad      20   0  254104   7200   6244 S   0.0   0.1   0:00.60 gvfsd
 1148 vlad      20   0  391296   5408   4804 S   0.0   0.1   0:00.02 gvfsd-fuse
 1161 vlad      20   0  362848  38368  26152 S   0.0   0.5   4:26.06 xfce4-panel
 1167 vlad      20   0  322340   5980   5240 S   0.0   0.1   0:00.02 at-spi-bus-laun
 1169 vlad      20   0  310676  17224  13452 S   0.0   0.2   0:33.15 xfsettingsd
 1177 vlad      20   0   12272   3828   3424 S   0.0   0.0   0:14.86 dbus-daemon
 1184 vlad      20   0  190048   7128   6208 S   0.0   0.1   1:13.32 at-spi2-registr
 1192 vlad      20   0  540732  59360  18368 S   0.0   0.7   0:47.87 xfdesktop
 1198 vlad      20   0  501192  46004  31728 S   0.0   0.6   0:50.61 xfce4-terminal
 1204 vlad      20   0  127532  15116  13048 S   0.0   0.2   0:05.12 panel-6-systray
 1209 vlad      20   0  278756  19304  15536 S   0.0   0.2   0:01.48 panel-2-actions
 1210 vlad      20   0  363888  42488  30680 S   0.0   0.5   2:04.36 panel-17-xkb
 1212 vlad      20   0  274800  20520  15520 S   0.0   0.3   0:11.40 xfce4-power-man
 1216 vlad      20   0  388004  31104  24632 S   0.0   0.4   0:45.85 panel-18-batter
 1217 vlad      20   0  332536  42256  25092 S   0.0   0.5   1:18.52 panel-19-xfce4-
 1218 vlad      20   0  340972  56144  24240 S   0.0   0.7  17:59.51 panel-31-fsguar
 1219 vlad      20   0  600872  32784  26060 S   0.0   0.4   4:36.89 panel-20-pulsea
 1226 vlad      20   0  374412  29580  23564 S   0.0   0.4   0:06.87 xfce4-notifyd
 1236 root      20   0  287012   9236   7492 S   0.0   0.1   0:12.17 upowerd
 1244 vlad      20   0  295776  10660   9080 S   0.0   0.1   0:01.81 gvfs-udisks2-vo
 1264 root      20   0  436444  11700   9060 S   0.0   0.1   0:28.62 udisksd
 1268 vlad      20   0  308468  25016  20492 S   0.0   0.3   0:00.81 panel-26-xfce4-
 1297 vlad      20   0   15144   6584   4284 S   0.0   0.1   0:00.16 zsh
 1341 vlad      20   0  328444   7304   6268 S   0.0   0.1   0:00.23 gvfsd-trash
 1352 vlad      20   0  419064  31868  23800 S   0.0   0.4   1:13.52 nm-applet
 1358 vlad      20   0  247520   5132   4692 S   0.0   0.1   0:00.00 agent
 1367 vlad      20   0  255312  18812  14356 S   0.0   0.2   0:01.25 polkit-gnome-au
 1379 vlad      20   0   43484   4604   3904 S   0.0   0.1   1:08.73 xscreensaver
 1413 vlad      20   0  173064   6136   5104 S   0.0   0.1   0:02.19 gvfsd-metadata
 8011 vlad      20   0  308564  10768   9408 S   0.0   0.1   0:00.03 gvfsd-http
10045 vlad      20   0  167180   5180   4516 S   0.0   0.1   0:00.07 dconf-service
10612 vlad      20   0  402036   9076   7936 S   0.0   0.1   0:00.80 gnome-keyring-d
19686 vlad      20   0  264096  31108  27692 S   0.0   0.4   0:00.08 Discord
19703 vlad      20   0  359460  55792  43012 S   0.0   0.7   0:17.24 Discord
23333 vlad      20   0 2149132 186720  71276 S   0.0   2.3  10:26.82 Telegram
23349 vlad      20   0   37728   5624   5092 S   0.0   0.1   0:00.04 gconfd-2
26038 root      20   0       0      0      0 I   0.0   0.0   0:01.53 kworker/0:2-kacpi_notify
26836 vlad      20   0 2873532 493460 163840 S   0.0   6.2 324:53.19 firefox
26885 vlad      20   0 2373892 295300 138236 S   0.0   3.7 104:45.17 Web Content
28396 root      20   0       0      0      0 I   0.0   0.0   0:00.50 kworker/0:0-kacpi_notify
